"cremation pit: fill","TYP","Descriptor"
"cremation pit: fill","INP","12/20/2007"
"cremation pit: fill","APP","12/20/2007"
"cremation pit: fill","UPD","12/20/2007"
"cremation vessel","Term Number","18"
"cremation vessel","STA","Approved"
"cremation vessel","TYP","Descriptor"
"cremation vessel","INP","12/20/2007"
"cremation vessel","APP","12/20/2007"
"cremation vessel","UPD","12/20/2007"
"cremation vessel: fill","Term Number","19"
"cremation vessel: fill","STA","Approved"
"cremation vessel: fill","TYP","Descriptor"
"cremation vessel: fill","INP","12/20/2007"
"cremation vessel: fill","APP","12/20/2007"
"cremation vessel: fill","UPD","12/20/2007"
"ditch","Term Number","20"
"ditch","STA","Approved"
"ditch","TYP","Descriptor"
"ditch","INP","12/20/2007"
"ditch","APP","12/20/2007"
"ditch","UPD","12/20/2007"
"ditch segment","Term Number","22"
"ditch segment","STA","Approved"
"ditch segment","TYP","Descriptor"
"ditch segment","INP","12/20/2007"
"ditch segment","APP","12/20/2007"
"ditch segment","UPD","12/20/2007"
"ditch segment: fill","Term Number","23"
"ditch segment: fill","STA","Approved"
"ditch segment: fill","TYP","Descriptor"
"ditch segment: fill","INP","12/20/2007"
"ditch segment: fill","APP","12/20/2007"
"ditch segment: fill","UPD","12/20/2007"
"drove way","Term Number","25"
"drove way","STA","Approved"
"drove way","TYP","Descriptor"
"drove way","INP","12/20/2007"
"drove way","APP","12/20/2007"
"drove way","UPD","12/20/2007"
"enclosure","Term Number","26"
"enclosure","STA","Approved"
"enclosure","TYP","Descriptor"
"enclosure","INP","12/20/2007"
"enclosure","APP","12/20/2007"
"enclosure","UPD","12/20/2007"
"feature","Term Number","27"
"feature","STA","Approved"
"feature","TYP","Descriptor"
"feature","INP","12/20/2007"
"feature","APP","12/20/2007"
"feature","UPD","12/20/2007"
"feature: fill","Term Number","28"
"feature: fill","STA","Approved"
"feature: fill","TYP","Descriptor"
"feature: fill","INP","12/20/2007"
"feature: fill","APP","12/20/2007"
"feature: fill","UPD","12/20/2007"
"floor","Term Number","29"
"floor","STA","Approved"
"floor","TYP","Descriptor"
"floor","INP","12/20/2007"
"floor","APP","12/20/2007"
"floor","UPD","12/20/2007"
"flue","Term Number","30"
"flue","STA","Approved"
"flue","TYP","Descriptor"
"flue","INP","12/20/2007"
"flue","APP","12/20/2007"
"flue","UPD","12/20/2007"
"foundation: cut","Term Number","31"
"foundation: cut","STA","Approved"
"foundation: cut","TYP","Descriptor"
"foundation: cut","INP","12/20/2007"
