uri,code,concept1,concept2,concept3,concept4,altLabel1,altLabel2
https://data.cultureelerfgoed.nl/term/id/rn/28f215ec-315b-41cf-a31b-44a63ac85cbc,OPZ,,,macroresten,,zaden,
https://data.cultureelerfgoed.nl/term/id/rn/cc32fef3-f5a5-48d1-87e8-28c8f89203a0,OXB,,bot,,,,
https://data.cultureelerfgoed.nl/term/id/rn/ac9c5fc6-a4f3-4418-b453-8a0f54d7b42c,ODG,,,gewei,,,
https://data.cultureelerfgoed.nl/term/id/rn/87a15ea6-0ed9-4bab-85bc-c0e32281e7ee,ODB,,,dierlijk bot,,,
https://data.cultureelerfgoed.nl/term/id/rn/4e3bfca3-f406-4f38-8722-3a3eae1b0219,ODT,,tand,,,,
https://data.cultureelerfgoed.nl/term/id/rn/3ec59c88-6a11-4d50-9729-54d77603c28e,ODI,,,ivoor,,,
https://data.cultureelerfgoed.nl/term/id/rn/ed2aeaad-cbfe-491c-82e6-68eb02bbec33,OKE,,keratine,,,,
https://data.cultureelerfgoed.nl/term/id/rn/f6e38290-0548-4bd7-b1e0-272aa68c8a49,OHO,,,hoef,,,
https://data.cultureelerfgoed.nl/term/id/rn/d5868120-c31a-4ed9-b12c-4272819ab77f,ODH,,,hoorn,,,
https://data.cultureelerfgoed.nl/term/id/rn/ee107f7d-6f9e-4ee1-a573-9952f28343e3,OBA,,,balein,,,
https://data.cultureelerfgoed.nl/term/id/rn/79e83a84-d42a-4a20-b1d8-77f2d649f52b,OHA,,,haar,,,
https://data.cultureelerfgoed.nl/term/id/rn/5d78d705-efa5-426b-86ec-8ea325d17413,ONA,,,nagel,,,
https://data.cultureelerfgoed.nl/term/id/rn/47bde37d-54c7-4c79-81b3-b78830024f6f,OKS,,,schildpad,,,
https://data.cultureelerfgoed.nl/term/id/rn/e21b734f-35ba-44a7-a1e3-4af3f07d01f7,ORI,,riet,,,,
https://data.cultureelerfgoed.nl/term/id/rn/048d9346-5f86-4a80-8030-cec5f22d6b0b,OFO,,fossiel,,,,
https://data.cultureelerfgoed.nl/term/id/rn/23cce6f7-4c50-4541-9407-e14c7892a304,SGI,,,git,,,
https://data.cultureelerfgoed.nl/term/id/rn/67aaec89-e75b-49f6-9f19-ff9813f3bed7,SLI,,,ligniet,,sapropeliet,
https://data.cultureelerfgoed.nl/term/id/rn/812ea142-c303-4aae-8a56-778210c1c366,SBA,,,barnsteen,,,
https://data.cultureelerfgoed.nl/term/id/rn/d386b3f4-7aa9-4fe6-a64d-2b659fe6b197,OTE,,textiel,,,,
https://data.cultureelerfgoed.nl/term/id/rn/d5221483-9107-41e8-9748-2586b40f0e16,OTE,,,touw,,,
https://data.cultureelerfgoed.nl/term/id/rn/772151e8-17c8-476e-8300-459a51f56a2a,OVI,,visresten,,,,
https://data.cultureelerfgoed.nl/term/id/rn/1d2d66f1-de58-4082-8aa9-53a67599faf0,ODL,,leer,,,,
https://data.cultureelerfgoed.nl/term/id/rn/ea0bcd79-31b9-4645-9783-add79577de3e,ODS,,schelp,,,,
https://data.cultureelerfgoed.nl/term/id/rn/cd773b48-13b2-4e15-af7d-2f8a4412c88d,OIS,,,inktvisschilden,,,
https://data.cultureelerfgoed.nl/term/id/rn/df8bf8b3-b4a9-4e10-b5f9-59234cc42bb0,GLS,glas,,,,,
https://data.cultureelerfgoed.nl/term/id/rn/6d7809db-db25-4c09-90c3-e455f61148a9,KER,keramiek,,,,,
https://data.cultureelerfgoed.nl/term/id/rn/a37c175c-6fd9-4638-bb2f-94bb758ecd80,KHL,,huttenleem,,,,
https://data.cultureelerfgoed.nl/term/id/rn/3c6900e6-a665-4603-b123-4dfb84afdc6e,KMA,,magering,,,,
https://data.cultureelerfgoed.nl/term/id/rn/134b1acb-18ec-455a-bc0b-f237cfb3b2f9,KMC,,,calciet,,,
https://data.cultureelerfgoed.nl/term/id/rn/63b6c8da-a522-4628-bca4-7bdabe17ecba,KMP,,,potgruis,,chamotte,
https://data.cultureelerfgoed.nl/term/id/rn/2bf249ed-dc7f-4133-a816-abf42cc92a46,KMK,,,kwarts,,,
https://data.cultureelerfgoed.nl/term/id/rn/1c9a26df-bece-4b68-bbfa-efe477bfa1f5,KMM,,,mica,,,
https://data.cultureelerfgoed.nl/term/id/rn/6306ada9-4874-4481-8507-31b9ce8934b4,KMS,,,schelpmagering,,,
https://data.cultureelerfgoed.nl/term/id/rn/b76acd9e-2024-4da8-a664-5a2f1da005db,KKL,,klei,,,,
https://data.cultureelerfgoed.nl/term/id/rn/0555d2ff-9c7a-4f71-95f8-6ecb9aeb66f8,KKP,,,pijpaarde,,,
https://data.cultureelerfgoed.nl/term/id/rn/e9c85dbc-f215-4249-ba1f-7d84a22eaa82,KBW,,bouwaardewerk,,,,
https://data.cultureelerfgoed.nl/term/id/rn/9084ba17-eefe-44db-8eab-d7b746668d9b,KAW,,aardewerk,,,,
https://data.cultureelerfgoed.nl/term/id/rn/7c897859-06b7-4e1e-a5cd-583944f9e84e,PLA,,plastic,,,kunststof,
https://data.cultureelerfgoed.nl/term/id/rn/df3a51b4-3f08-435b-b40c-348f3cdb99e9,CPS,,composiet,,,,
https://data.cultureelerfgoed.nl/term/id/rn/0f67c300-139f-46aa-9b47-ceb2642a1fff,PRU,,rubber,,,,
https://data.cultureelerfgoed.nl/term/id/rn/e1943c98-e939-4ff8-8d93-1814ef0e0e39,PBA,,bakeliet,,,,
